"CD_A,C,2","PER,C,4","ENT,C,2","CON,C,5","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S4P18_1,N,1,0","S4P18_2,N,1,0","S4P18_3,N,1,0","S4P18_4,N,1,0","S4P18_5,N,1,0","S4P18_6,N,1,0","S4P18_7,N,1,0","S4P18_8,N,1,0","S4P18_9,N,1,0","S4P18_10,N,1,0","S4P18_11,N,1,0","S4P18_12,N,1,0","S4P18_13,N,1,0","S4P18_14,N,1,0","S4P18_15,N,1,0","S4P18_16,N,1,0","S4P18_17,N,1,0","S4P18_18,N,1,0","S4P18_19,N,1,0","S4P18_20,N,1,0","S4P19,N,1,0","S4P20,N,1,0","S4P21_1,N,1,0","S4P21_2,N,1,0","S4P21_3,N,1,0","S4P21_4,N,1,0","S4P21_5,N,1,0","S4P21_6,N,1,0","S4P21_7,N,1,0","S4P22_1,N,1,0","S4P22_2,N,1,0","S4P22_3,N,1,0","S4P22_4,N,1,0","S4P22_5,N,1,0","S4P22_6,N,1,0","S4P22_7,N,1,0","S4P22_8,N,1,0","S4P22_9,N,1,0","S4P22_10,N,1,0","S4P22_11,N,1,0","S4P22_12,N,1,0","S4P23_1,N,1,0","S4P23_2,N,1,0","S4P23_3,N,1,0","S4P23_4,N,1,0","S4P23_5,N,1,0","S4P23_6,N,1,0","S4P23_7,N,1,0","S4P23_8,N,1,0","S4P23_9,N,1,0","S4P23_10,N,1,0","S4P24_1,N,1,0","S4P24_2,N,1,0","S4P24_3,N,1,0","S4P24_4,N,1,0","S4P24_5,N,1,0","S4P24_6,N,1,0","S4P25_1,N,1,0","S4P25_2,N,1,0","S4P25_3,N,1,0","S4P25_4,N,1,0","S4P25_5,N,1,0","S4P25_6,N,1,0","S4P25_7,N,1,0","S4P25_8,N,1,0","S4P25_9,N,1,0","S4P25_10,N,1,0","S4P25_11,N,1,0","S4P25_12,N,1,0","S4P26_1,N,1,0","S4P26_2,N,1,0","S4P26_3,N,1,0","S4P26_4,N,1,0","S4P26_5,N,1,0","S4P27_1,N,1,0","S4P27_2,N,1,0","S4P27_3,N,1,0","S4P27_4,N,1,0","S4P27_5,N,1,0","S4P27_6,N,1,0","S4P27_7,N,1,0","S4P27_8,N,1,0","S4P27_9,N,1,0","S4P28_1,N,1,0","S4P28_2,N,1,0","S4P28_3,N,1,0","S4P28_4,N,1,0","S4P28_5,N,1,0","S4P28_6,N,1,0","S4P28_7,N,1,0","S4P28_8,N,1,0","S4P28_9,N,1,0","S4P29_1,N,1,0","S4P29_2,N,1,0","S4P30,N,1,0","S4P30_1,N,1,0","S4P30_2,N,1,0","S4P31,N,1,0","S4P31_1_1,N,1,0","S4P31_1_2,N,1,0","S4P31_1_3,N,1,0","S4P31_1_4,N,1,0","S4P31_1_5,N,1,0","S4P31_1_6,N,1,0","S4P31_1_7,N,1,0","S4P32,N,1,0","S4P32_1,N,1,0","S4P33,N,1,0","S5P1,N,1,0","S5P1_1,N,1,0","S5P2_1,N,1,0","S5P2_2,N,1,0","S5P2_3,N,1,0","S5P2_4,N,1,0","S5P2_5,N,1,0","S5P2_6,N,1,0","S5P2_ES,C,50","S5P3,N,1,0","S5P4_1,N,1,0","S5P4_2,N,1,0","S5P4_3,N,1,0","S5P4_4,N,1,0","S5P4_5,N,1,0","S5P4_6,N,1,0","S5P4_7,N,1,0","S5P4_8,N,1,0","S5P4_9,N,1,0","S5P4_10,N,1,0","S5P4_11,N,1,0","S5P4_12,N,1,0","S5P4_ES,C,50","S5P5,N,1,0","S5P6_1,N,1,0","S5P6_2,N,1,0","S5P6_3,N,1,0","S5P6_4,N,1,0","S5P6_5,N,1,0","S5P6_6,N,1,0","S5P6_7,N,1,0","S5P6_8,N,1,0","S5P6_9,N,1,0","S5P6_10,N,1,0","S5P6_11,N,1,0","S5P6_12,N,1,0","S5P6_13,N,1,0","S5P6_14,N,1,0","S5P7,N,1,0","S5P8,N,1,0","S5P9,N,1,0","S5P10_1,N,1,0","S5P10_2,N,1,0","S5P10_3,N,1,0","S5P10_4,N,1,0","S5P10_5,N,1,0","S5P10_6,N,1,0","S5P11_D1,C,50","S5P11_D2,C,50","S5P11_D3,C,50","S5P12_1,N,1,0","S5P12_2,N,1,0","S5P12_3,N,1,0","S5P12_4,N,1,0","S5P12_5,N,1,0","S5P12_6,N,1,0","S5P12_ESP,C,50","S5P13_1,N,1,0","S5P13_2,N,1,0","S5P13_3,N,1,0","S5P13_4,N,1,0","S5P13_5,N,1,0","S5P13_6,N,1,0","S5P13_7,N,1,0","S5P13_8,N,1,0","S5P13_9,N,1,0","S5P13_10,N,1,0","S5P13_11,N,1,0","S5P13_12,N,1,0","S5P13_13,N,1,0","S5P13_14,N,1,0","S5P13_15,N,1,0","S5P13_16,N,1,0","S5P13_17,N,1,0","S5P13_18,N,1,0","S5P13_19,N,1,0","S5P13_20,N,1,0","S5P13_21,N,1,0","S5P13_22,N,1,0","S5P13_23,N,1,0","S5P13_24,N,1,0","S5P13_25,N,1,0","S5P13_26,N,1,0","S5P13_27,N,1,0","OBS,C,254","FAC,N,6,0"
33,1015,06,40110,4,1,03,1,2,2,1,2,1,2,1,2,2,1,2,1,1,2,2,2,2,2,1,3,3,4,3,3,1,3,2,3,2,1,1,1,2,3,2,2,4,5,3,1,2,3,3,2,2,3,3,2,2,5,3,3,3,2,2,2,1,2,2,2,3,3,3,2,2,2,1,2,3,2,2,3,2,2,2,2,2,3,2,3,2,3,1,1,1,2,2,2,1,3,1,1,1,1,2,2,3,2,3,3,3,2,3,2,1,3,3,1,0,1,1,2,2,2,2,,1,1,1,1,1,1,1,2,1,1,1,2,2,,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,4,2,2,1,3,4,6,5,2,SEP,,,1,2,3,5,4,6,NINGUNO,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,,3576
33,1015,06,40161,2,1,03,1,2,1,1,2,3,1,1,2,2,1,1,1,1,1,2,3,1,1,1,3,1,4,2,4,1,2,4,2,1,2,2,2,2,3,5,3,2,2,3,1,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,5,5,5,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,3,5,5,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,3,2,2,2,5,3,2,1,2,3,1,0,1,2,2,2,1,2,,1,1,1,1,1,1,3,3,1,1,1,2,3,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,3,1,6,5,4,SEP,,,1,2,5,3,6,4,NINGUNO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2706
33,1015,06,40161,5,1,01,1,2,1,1,3,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,3,1,3,2,4,2,2,2,2,1,2,2,2,2,3,3,2,2,2,2,1,1,2,2,1,1,1,1,2,1,1,3,2,2,2,1,2,2,2,2,1,4,2,5,3,2,3,2,2,2,2,3,3,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,3,3,2,3,2,2,0,3,1,0,1,2,2,2,2,2,,1,2,1,1,1,1,1,2,1,1,1,2,2,,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,5,2,1,1,3,4,2,5,6,INSTITUTO MEXICANO DE PETROLEO,CONACYT,UNAM,1,2,3,4,5,6,NINGUNO,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,,3608
33,1015,06,40161,1,1,01,1,3,1,3,3,3,1,2,1,3,1,3,3,3,3,3,1,3,3,1,5,1,6,6,6,6,6,6,6,5,5,5,2,5,5,5,2,5,5,3,5,5,5,2,5,2,5,5,5,5,5,3,3,2,4,5,5,2,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,5,1,2,5,5,5,4,1,1,4,1,4,1,4,4,3,1,1,2,1,2,3,5,3,5,5,4,5,1,3,2,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,902
33,1015,06,40161,4,1,02,1,1,1,2,2,3,1,3,3,1,1,2,1,3,3,2,3,2,1,1,3,3,5,2,2,2,1,2,2,2,1,2,2,2,3,3,2,3,2,4,1,2,5,1,2,1,2,5,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,0,0,3,2,2,2,2,3,2,2,1,3,2,2,1,1,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2706
33,1015,06,40163,2,1,02,1,1,1,1,2,1,1,1,3,3,1,1,1,3,3,3,3,1,1,1,5,1,4,2,4,1,1,1,2,1,1,4,3,3,2,1,3,4,4,4,4,2,2,1,1,2,4,1,2,1,2,4,3,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,4,2,1,1,1,1,1,2,1,4,1,4,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,4,4,3,1,2,2,1,1,1,3,2,2,1,1,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3057
33,1015,06,40163,5,1,01,2,1,1,2,2,3,1,1,3,2,1,2,1,3,2,2,2,2,3,1,3,3,4,1,1,1,1,6,1,1,1,1,1,2,1,3,3,2,4,4,1,2,2,1,2,1,2,2,2,2,3,1,1,3,4,1,1,1,1,1,1,2,2,2,2,1,3,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,2,4,1,1,4,2,1,1,1,2,3,1,2,0,0,3,2,1,4,1,1,2,1,1,3,3,2,1,1,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3057
33,1015,06,40163,3,1,01,1,2,1,1,3,2,1,1,2,2,1,2,1,1,2,1,3,2,2,1,5,3,4,1,4,1,1,1,2,1,1,2,1,1,2,2,2,3,4,4,1,1,2,1,2,2,3,2,2,1,1,3,3,1,3,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,1,3,3,2,1,1,1,1,1,1,3,2,2,3,1,1,1,2,2,3,3,2,1,1,1,1,1,3,1,2,3,1,1,2,2,2,0,3,1,0,2,2,1,2,1,2,,1,3,1,3,1,1,3,2,1,1,1,3,1,APOYO PARA INTERCAMBIO DE INVESTIGADORES,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,4,2,3,1,2,3,5,6,4,CONACULTA,UNAM,CONACYT,2,3,4,1,5,6,NINGUNO,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,,2038
33,1015,06,40163,4,1,02,1,1,1,1,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,1,3,2,2,4,4,2,3,2,3,1,2,1,1,2,2,3,3,2,3,4,3,3,4,2,2,1,2,3,2,3,2,1,2,1,1,1,2,1,2,1,2,3,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,2,1,2,2,1,2,3,1,3,2,2,3,1,1,1,1,1,2,0,0,3,2,1,2,2,3,3,3,2,0,2,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3057
33,1015,06,40165,4,1,02,1,2,2,2,3,1,1,1,2,2,1,2,1,1,1,3,2,1,3,1,3,3,5,2,4,1,1,2,1,1,1,2,2,2,2,2,4,3,3,3,1,2,2,2,2,2,2,3,2,2,2,2,2,2,4,1,1,1,1,2,2,1,1,3,2,3,4,2,1,3,2,3,4,2,3,2,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,2,3,3,2,2,0,1,1,0,1,2,2,2,1,2,,1,1,1,3,1,1,3,3,3,1,1,3,2,,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,3,2,2,1,3,2,6,4,5,NINGUNO,,,1,3,5,2,4,6,NINGUNO,1,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,,3120
33,1015,06,40165,2,1,01,1,1,1,1,1,1,1,2,3,2,1,1,3,3,2,3,3,3,3,1,3,2,4,2,4,1,1,1,1,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,2,1,5,5,1,2,2,3,2,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2080
33,1015,06,40165,3,1,02,1,1,2,2,1,1,2,2,2,2,1,2,1,3,1,2,2,2,2,1,3,1,5,2,4,2,2,2,2,2,1,4,2,2,2,2,3,2,3,3,2,2,2,2,2,2,3,3,2,3,2,2,3,2,3,2,2,2,2,3,2,2,2,3,2,3,3,2,3,2,2,2,3,3,2,2,2,2,2,3,2,2,2,3,1,1,1,2,3,1,1,1,3,1,1,2,1,3,2,2,2,2,2,3,2,2,0,3,1,0,1,2,2,2,2,2,,1,2,1,2,1,1,1,1,2,1,1,2,2,,3,2,2,2,2,2,2,2,1,1,2,1,1,1,1,4,3,1,1,4,3,2,6,5,NINGUNA,,,4,1,3,2,5,6,NINGUNO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2080
33,1015,06,40165,5,1,02,1,3,1,1,1,3,1,3,1,3,1,1,3,3,1,3,3,3,3,1,3,4,5,2,3,6,6,6,6,2,1,1,1,2,2,1,3,3,3,2,2,2,2,2,2,2,3,3,2,2,2,3,4,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,5,2,2,3,2,2,1,1,1,2,2,3,3,2,1,1,2,2,2,2,1,1,1,1,3,1,2,1,2,2,2,2,2,3,3,2,1,3,3,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3120
33,1015,06,40165,1,1,02,1,1,1,1,1,3,1,1,3,1,1,1,1,3,3,3,1,1,1,1,1,3,3,2,1,2,2,2,3,1,2,3,1,1,2,4,3,1,3,2,3,1,3,4,1,1,2,4,1,2,1,4,3,2,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,4,2,3,1,2,2,1,2,1,1,2,3,2,1,1,1,1,3,3,1,1,1,1,4,2,0,0,3,1,2,2,3,1,2,1,2,0,2,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2080
33,1015,06,40195,5,1,01,1,1,1,3,3,3,1,2,3,3,1,3,3,3,3,2,3,1,3,2,5,4,4,2,4,1,1,3,3,1,5,5,5,3,5,2,5,3,3,5,2,5,5,2,5,2,2,5,2,5,2,5,5,2,4,5,5,5,5,5,2,5,5,5,5,5,5,2,2,5,5,5,5,5,2,2,2,2,2,4,5,5,5,1,1,1,4,1,1,1,4,4,3,1,1,2,2,1,2,2,5,2,5,5,1,1,2,3,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1810
33,1015,06,40195,4,1,01,1,2,1,1,1,3,1,3,3,2,1,2,1,3,3,2,2,2,1,1,2,2,6,6,6,6,6,6,6,1,1,1,5,2,5,5,5,5,5,5,1,2,5,2,5,2,2,5,2,5,5,5,2,2,3,2,2,1,2,1,2,5,2,5,5,2,2,1,1,5,2,5,5,5,1,1,1,1,1,1,3,2,3,1,1,1,4,1,4,1,4,4,3,2,1,2,1,1,2,2,4,2,3,4,4,2,0,1,2,1,1,2,1,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,905
33,1015,06,40195,3,1,01,1,2,1,2,3,3,1,1,3,3,1,3,3,3,2,1,2,3,3,1,5,2,5,5,5,1,1,6,3,3,3,3,3,3,2,3,3,3,3,3,1,5,5,5,5,3,3,5,5,5,5,5,5,2,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,4,1,1,4,1,1,1,4,4,3,1,1,2,2,2,3,2,4,2,5,5,5,2,0,2,1,0,1,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1810
33,1015,06,40195,2,1,01,3,3,1,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,1,3,2,4,4,4,1,1,1,4,1,1,2,2,2,5,2,5,5,3,3,1,5,5,5,5,2,2,5,2,2,5,3,3,2,3,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,5,5,5,2,4,4,1,4,1,4,1,4,1,1,1,1,2,2,3,3,2,3,2,5,5,5,2,0,2,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1810
33,1015,06,40196,4,1,01,1,2,1,2,1,3,1,3,3,1,1,2,2,1,3,2,2,1,1,1,1,1,6,6,6,6,3,6,6,2,5,5,2,5,5,5,5,5,5,3,2,5,5,5,5,5,3,5,5,5,5,3,2,2,3,2,2,2,5,2,1,5,5,5,5,5,5,2,2,5,2,5,5,5,2,2,5,2,2,2,5,5,5,4,1,1,4,2,4,1,4,4,1,1,1,2,1,2,2,5,2,5,5,2,5,2,0,2,2,1,2,2,2,2,2,1,PERSONAS,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1884
33,1015,06,40196,1,1,01,1,3,1,1,3,2,1,1,1,1,1,1,3,3,3,2,2,1,1,1,3,2,5,6,4,6,1,6,4,2,2,2,2,2,2,3,3,2,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,1,2,2,5,5,2,3,1,2,5,2,3,3,2,2,2,2,2,2,1,3,5,5,4,1,1,4,1,2,2,4,4,1,1,1,2,1,1,2,5,3,5,2,3,2,2,0,1,1,0,1,2,2,2,1,2,,1,3,1,1,3,1,1,3,3,1,1,3,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,3,1,6,4,5,NO SABE,,,1,2,4,5,6,3,NINGUNO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1884
33,1015,06,40196,2,1,02,2,2,1,2,3,3,1,3,3,3,1,3,3,3,2,1,2,2,3,3,6,4,3,3,3,3,2,3,3,1,5,5,5,5,5,5,3,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,2,5,5,5,2,5,5,1,5,5,5,5,2,5,5,2,5,3,5,5,4,1,1,4,1,1,1,1,4,1,1,1,1,1,1,5,2,4,1,4,5,5,2,0,1,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1884
33,1015,06,40196,3,1,01,1,2,1,1,2,1,1,2,2,2,1,1,1,3,1,1,2,2,2,1,3,2,5,2,4,1,1,1,2,1,2,2,3,3,3,2,4,2,3,3,1,2,3,2,3,1,3,2,5,2,2,4,4,2,3,2,2,1,2,1,2,2,5,3,2,2,2,5,2,2,2,2,4,3,5,1,2,3,2,2,3,3,5,4,1,1,1,1,1,1,4,4,3,1,1,2,1,2,1,3,4,3,5,5,1,2,0,2,1,0,2,2,2,2,2,1,FAMILIARES,1,1,1,1,1,1,1,3,1,1,1,3,2,,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,5,2,4,2,3,1,4,6,5,CONACYT,,,1,2,5,3,6,4,NINGUNO,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,942
33,1015,06,40196,5,1,02,3,3,1,2,3,3,1,3,3,3,1,3,3,3,2,3,2,2,3,1,3,2,6,6,5,6,1,6,6,1,2,3,2,3,5,5,3,3,3,3,5,5,5,5,5,2,3,5,2,5,5,4,3,2,4,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,2,2,2,2,1,3,5,5,5,4,4,1,4,4,4,4,4,4,1,1,1,2,2,2,5,2,4,2,4,4,3,2,0,2,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1884
33,1015,06,40199,2,1,01,2,1,1,1,1,2,1,1,2,2,1,2,1,3,1,2,2,1,1,2,5,2,4,2,2,2,1,3,1,1,1,2,1,2,2,2,3,2,3,3,1,2,2,1,1,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,2,1,1,2,1,3,2,1,2,2,1,1,1,1,3,2,2,1,1,2,1,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,827
33,1015,06,40199,1,1,04,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,1,4,1,5,2,1,1,1,3,2,2,1,1,1,1,4,2,1,2,2,3,2,1,1,2,2,2,2,3,3,2,1,2,2,2,3,4,2,2,1,1,2,2,2,2,2,2,1,1,2,3,2,1,2,1,3,1,2,1,1,3,4,2,3,1,1,1,1,1,1,1,1,1,3,3,1,1,1,3,2,2,2,3,2,3,2,2,0,3,1,0,2,1,1,2,1,1,FOLLETOS,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3308
33,1015,06,40199,5,1,03,1,2,1,1,2,3,1,1,3,1,1,1,1,3,3,1,2,1,2,1,3,2,2,1,4,1,1,1,2,2,1,3,1,2,2,2,3,2,3,4,1,1,1,1,2,2,3,3,2,2,3,3,3,1,4,1,2,2,1,2,2,1,3,3,2,2,4,1,2,2,2,2,3,2,1,1,1,2,2,1,3,2,1,1,2,1,1,2,3,1,1,2,3,3,1,1,1,3,2,2,3,1,3,2,1,1,3,4,2,1,2,2,2,2,2,1,FERIA NACIONAL DE CIENCIA Y TECNOLOGIA,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4135
33,1015,06,40199,4,1,02,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,2,1,1,3,3,4,5,5,1,1,2,6,1,1,2,2,2,3,2,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,3,3,2,1,3,2,2,1,1,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1654
33,1015,06,40199,3,1,01,1,1,1,2,3,3,1,1,3,3,1,1,1,1,3,3,2,1,3,1,3,2,5,1,4,1,2,2,2,2,1,2,2,1,3,2,2,2,2,3,2,2,2,1,2,2,2,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,1,2,3,3,2,2,2,2,2,2,3,2,2,3,1,1,1,1,2,1,1,1,2,1,1,1,1,3,2,2,3,2,2,2,2,2,0,2,2,1,1,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1654
